A0138557743     250229              66989   02/06/07   18000   1800002/07/07ALTO DAIRY                    
A0138557743     250229              67281   02/20/07   20000       103/01/07ALTO DAIRY                    
A0138557743     250229              68622   04/23/07   20000   2000004/24/07ALTO DAIRY                    
A0138557743     250229              69566   05/30/07   35000       106/15/07ALTO DAIRY                    
A0138557743     250229              69817   06/12/07   20000   2000006/15/07ALTO DAIRY                    
A0138557743     250229              70948   07/30/07    5000    500008/01/07ALTO DAIRY                    
A0138557743     250229              71710   08/31/07   10000   1000008/31/07ALTO DAIRY                    
A0138557743     250229              71749   09/04/07   20000       109/14/07ALTO DAIRY                    
A0138557743     250229              72632   10/15/07   10000   1000010/16/07ALTO DAIRY                    
A0138557743     250229              73445   11/19/07   11000   1100011/20/07ALTO DAIRY                    
A0138557743     250229              73461   11/20/07   35000       112/10/07ALTO DAIRY                    
A0138557743     250229              73960   12/18/07   36000   3600012/19/07ALTO DAIRY                    
A0138557745     265250              48759   01/21/05   16000   1600001/24/05ALTO DAIRY                    
A0138557745     265250              51154   04/13/05       1       104/27/05ALTO DAIRY                    
A0138557745     265250              52203   05/23/05   10000   1000005/24/05ALTO DAIRY                    
A0138557745     265250              52410   05/31/05    6000    600006/02/05ALTO DAIRY                    
A0138557745     265250              53937   08/01/05   10000   1000008/02/05ALTO DAIRY                    
A0138557745     265250              54670   08/29/05   10000   1000008/30/05ALTO DAIRY                    
A0138557745     265250              57949   01/10/06   20000   2000001/12/06ALTO DAIRY                    
A0138557745     265250              61008   05/17/06   10000   1000005/18/06ALTO DAIRY                    
A0138557745     265250              63373   08/28/06   24000   2400008/29/06ALTO DAIRY                    
A0138557745     265250              63387   08/28/06   30000       109/08/06ALTO DAIRY                    
A0138557745     265250              67766   03/14/07   30000   3000003/15/07ALTO DAIRY                    
A0138557745     265250              73461   11/20/07   10000       112/10/07ALTO DAIRY                    
A0138557745     265250              73960   12/18/07   10000   1000012/19/07ALTO DAIRY                    
A0138557747     266429              49432   02/14/05   20000   2000002/15/05ALTO DAIRY                    
A0138557747     266429              50381   03/18/05   20000   2000003/18/05ALTO DAIRY                    
A0138557747     266429              51154   04/13/05       1       104/27/05ALTO DAIRY                    
A0138557747     266429              51507   04/27/05   20000   2000004/28/05ALTO DAIRY                    
A0138557747     266429              52522   06/06/05   20000   2000006/07/05ALTO DAIRY                    
A0138557747     266429              53938   08/01/05   24000   2400008/02/05ALTO DAIRY                    
A0138557747     266429              54671   08/29/05   20000   2000008/30/05ALTO DAIRY                    
A0138557747     266429              55616   10/03/05   20000   2000010/04/05ALTO DAIRY                    
A0138557747     266429              56380   11/02/05   20000   2000011/03/05ALTO DAIRY                    
A0138557747     266429              57059   11/30/05   10000   1000012/01/05ALTO DAIRY                    
A0138557747     266429              57524   12/19/05   20000   2000012/20/05ALTO DAIRY                    
A0138557747     266429              57949   01/10/06   12000   1200001/12/06ALTO DAIRY                    
A0138557747     266429              58779   02/13/06   10000   1000002/14/06ALTO DAIRY                    
A0138557747     266429              59967   04/03/06   20000   2000004/04/06ALTO DAIRY                    
A0138557747     266429              60599   05/02/06   15000   1500005/02/06ALTO DAIRY                    
A0138557747     266429              61583   06/09/06   15000   1500006/09/06ALTO DAIRY                    
A0138557747     266429              61625   06/13/06    9400    940006/16/06ALTO DAIRY                    
A0138557747     266429              61884   06/21/06   70000       107/12/06ALTO DAIRY                    
A0138557747     266429              62250   07/10/06   20000   2000007/11/06ALTO DAIRY                    
A0138557747     266429              62603   07/24/06   20000   2000007/25/06ALTO DAIRY                    
A0138557747     266429              63374   08/28/06   31999   3199908/29/06ALTO DAIRY                    
A0138557747     266429              63387   08/28/06   55000       109/08/06ALTO DAIRY                    
A0138557747     266429              64063   09/25/06   20000   2000009/26/06ALTO DAIRY                    
A0138557747     266429              64561   10/17/06   10000   1000010/17/06ALTO DAIRY                    
A0138557747     266429              65453   11/28/06   26000   2600011/29/06ALTO DAIRY                    
A0138557747     266429              65624   12/05/06   50000       112/11/06ALTO DAIRY                    
A0138557747     266429              66159   01/02/07   20000   2000001/03/07ALTO DAIRY                    
A0138557747     266429              66989   02/06/07   32000   3200002/07/07ALTO DAIRY                    
A0138557747     266429              67281   02/20/07   40000       103/01/07ALTO DAIRY                    
A0138557747     266429              68177   04/03/07   10000   1000004/04/07ALTO DAIRY                    
A0138557747     266429              68622   04/23/07   10000   1000004/24/07ALTO DAIRY                    
A0138557747     266429              69394   05/23/07   20000   2000005/23/07ALTO DAIRY                    
A0138557747     266429              69566   05/30/07   65000       106/15/07ALTO DAIRY                    
A0138557747     266429              69817   06/12/07   30000   3000006/15/07ALTO DAIRY                    
A0138557747     266429              70422   07/05/07   10000   1000007/06/07ALTO DAIRY                    
A0138557747     266429              70948   07/30/07   20000   2000008/01/07ALTO DAIRY                    
A0138557747     266429              71573   08/24/07    6000    600009/04/07ALTO DAIRY                    
A0138557747     266429              71749   09/04/07   35000       109/14/07ALTO DAIRY                    
A0138557747     266429              72632   10/15/07   20000   2000010/16/07ALTO DAIRY                    
A0138557747     266429              72951   10/29/07   16000   1600010/31/07ALTO DAIRY                    
A0138557747     266429              73461   11/20/07   70000       112/10/07ALTO DAIRY                    
A0138557747     266429              73782   12/10/07   20000   2000012/10/07ALTO DAIRY                    
A0138557747     266429              73960   12/18/07   56000   5600012/19/07ALTO DAIRY                    
A0138560498     271403              62081   06/29/06   40000       107/13/06ALTO DAIRY                    
A0138560498     271403              62287   07/11/06   20000   2000007/13/06ALTO DAIRY                    
A0138560498     271403              67764   03/14/07   20000   2000003/15/07ALTO DAIRY                    
A0138557886     277429              48532   01/13/05   10000   1000001/13/05ALTO DAIRY                    
A0138557886     277429              49651   02/21/05   15000   1500002/22/05ALTO DAIRY                    
